czas;code;val_num;val_str;val_combined
2026-08-24 00:01:37;disc_temp;"22;5";;"22;5"
2026-08-24 00:02:20;comp_freq;"0;0";;"0;0"
2026-08-24 00:02:20;amb_temp;"13;3";;"13;3"
2026-08-24 00:02:20;ac_curr;"0;0";;"0;0"
2026-08-24 00:02:36;fault_flag;;False;"0;0"
2026-08-24 00:02:36;protect_flag;;False;"0;0"
2026-08-24 00:02:36;ac_fan;;close;
2026-08-24 00:02:36;freeze;;False;"0;0"
2026-08-24 00:02:36;defrost;;False;"0;0"
2026-08-24 00:02:36;dc_fan2;"0;0";;"0;0"
2026-08-24 00:03:03;back_temp;"20;5";;"20;5"
2026-08-24 00:03:04;in_water_temp;"21;1";;"21;1"
2026-08-24 00:03:20;m_eev;"480;0";;"480;0"
2026-08-24 00:03:20;dc_fan1;"0;0";;"0;0"
2026-08-24 00:03:53;a_eev;"10;0";;"10;0"
2026-08-24 00:03:53;tank_temp;"44;0";;"44;0"
2026-08-24 00:04:20;out_water_temp;"22;3";;"22;3"
2026-08-24 00:04:36;tidr;"23;1";;"23;1"
2026-08-24 00:04:40;pump_sta;;False;"0;0"
2026-08-24 00:04:40;flow_rate;"0;0";;"0;0"
2026-08-24 00:04:40;valve;;False;"0;0"
2026-08-24 00:06:35;in_water_temp;"20;9";;"20;9"
2026-08-24 00:06:47;disc_temp;"22;2";;"22;2"
2026-08-24 00:07:22;comp_freq;"0;0";;"0;0"
2026-08-24 00:07:22;amb_temp;"13;2";;"13;2"
2026-08-24 00:07:22;ac_curr;"0;0";;"0;0"
2026-08-24 00:07:38;fault_flag;;False;"0;0"
2026-08-24 00:07:38;protect_flag;;False;"0;0"
2026-08-24 00:07:38;ac_fan;;close;
2026-08-24 00:07:38;freeze;;False;"0;0"
2026-08-24 00:07:38;defrost;;False;"0;0"
2026-08-24 00:07:38;dc_fan2;"0;0";;"0;0"
2026-08-24 00:08:07;back_temp;"20;3";;"20;3"
2026-08-24 00:08:27;m_eev;"480;0";;"480;0"
2026-08-24 00:08:27;dc_fan1;"0;0";;"0;0"
2026-08-24 00:08:56;a_eev;"10;0";;"10;0"
2026-08-24 00:08:56;tank_temp;"43;9";;"43;9"
2026-08-24 00:09:23;out_water_temp;"22;1";;"22;1"
2026-08-24 00:09:36;tidr;"23;1";;"23;1"
2026-08-24 00:09:48;pump_sta;;False;"0;0"
2026-08-24 00:09:48;flow_rate;"0;0";;"0;0"
2026-08-24 00:09:48;valve;;False;"0;0"
2026-08-24 00:11:36;in_water_temp;"20;8";;"20;8"
2026-08-24 00:11:49;disc_temp;"22;0";;"22;0"
2026-08-24 00:11:51;out_water_temp;"21;9";;"21;9"
2026-08-24 00:12:23;comp_freq;"0;0";;"0;0"
2026-08-24 00:12:23;amb_temp;"13;0";;"13;0"
2026-08-24 00:12:23;ac_curr;"0;0";;"0;0"
2026-08-24 00:12:39;fault_flag;;False;"0;0"
2026-08-24 00:12:39;protect_flag;;False;"0;0"
2026-08-24 00:12:39;ac_fan;;close;
2026-08-24 00:12:39;freeze;;False;"0;0"
2026-08-24 00:12:39;defrost;;False;"0;0"
2026-08-24 00:12:39;dc_fan2;"0;0";;"0;0"
2026-08-24 00:13:09;back_temp;"20;1";;"20;1"
2026-08-24 00:13:28;m_eev;"480;0";;"480;0"
2026-08-24 00:13:28;dc_fan1;"0;0";;"0;0"
2026-08-24 00:13:56;a_eev;"10;0";;"10;0"
2026-08-24 00:13:56;tank_temp;"43;9";;"43;9"
2026-08-24 00:14:38;tidr;"23;1";;"23;1"
2026-08-24 00:14:49;pump_sta;;False;"0;0"
2026-08-24 00:14:49;flow_rate;"0;0";;"0;0"
2026-08-24 00:14:49;valve;;False;"0;0"
2026-08-24 00:16:37;in_water_temp;"20;6";;"20;6"
2026-08-24 00:16:51;disc_temp;"21;8";;"21;8"
2026-08-24 00:16:52;out_water_temp;"21;8";;"21;8"
2026-08-24 00:17:32;comp_freq;"0;0";;"0;0"
2026-08-24 00:17:32;amb_temp;"13;0";;"13;0"
2026-08-24 00:17:32;ac_curr;"0;0";;"0;0"
2026-08-24 00:17:49;fault_flag;;False;"0;0"
2026-08-24 00:17:49;protect_flag;;False;"0;0"
2026-08-24 00:17:49;ac_fan;;close;
2026-08-24 00:17:49;freeze;;False;"0;0"
2026-08-24 00:17:49;defrost;;False;"0;0"
2026-08-24 00:17:49;dc_fan2;"0;0";;"0;0"
2026-08-24 00:18:12;back_temp;"19;9";;"19;9"
2026-08-24 00:18:28;m_eev;"480;0";;"480;0"
2026-08-24 00:18:28;dc_fan1;"0;0";;"0;0"
2026-08-24 00:18:59;a_eev;"10;0";;"10;0"
2026-08-24 00:18:59;tank_temp;"43;9";;"43;9"
2026-08-24 00:19:42;tidr;"23;1";;"23;1"
2026-08-24 00:19:50;pump_sta;;False;"0;0"
2026-08-24 00:19:50;flow_rate;"0;0";;"0;0"
2026-08-24 00:19:50;valve;;False;"0;0"
2026-08-24 00:21:18;in_water_temp;"20;4";;"20;4"
2026-08-24 00:21:52;disc_temp;"21;4";;"21;4"
2026-08-24 00:21:54;out_water_temp;"21;6";;"21;6"
2026-08-24 00:22:32;comp_freq;"0;0";;"0;0"
2026-08-24 00:22:32;amb_temp;"12;9";;"12;9"
2026-08-24 00:22:32;ac_curr;"0;0";;"0;0"
2026-08-24 00:22:53;fault_flag;;False;"0;0"
2026-08-24 00:22:53;protect_flag;;False;"0;0"
2026-08-24 00:22:53;ac_fan;;close;
2026-08-24 00:22:53;freeze;;False;"0;0"
2026-08-24 00:22:53;defrost;;False;"0;0"
2026-08-24 00:22:53;dc_fan2;"0;0";;"0;0"
2026-08-24 00:23:13;back_temp;"19;8";;"19;8"
2026-08-24 00:23:30;m_eev;"480;0";;"480;0"
2026-08-24 00:23:30;dc_fan1;"0;0";;"0;0"
2026-08-24 00:24:01;a_eev;"10;0";;"10;0"
2026-08-24 00:24:01;tank_temp;"43;9";;"43;9"
2026-08-24 00:24:44;tidr;"23;1";;"23;1"
2026-08-24 00:24:50;pump_sta;;False;"0;0"
2026-08-24 00:24:50;flow_rate;"0;0";;"0;0"
2026-08-24 00:24:50;valve;;False;"0;0"
2026-08-24 00:25:59;out_water_temp;"21;4";;"21;4"
2026-08-24 00:26:15;tidr;"23;0";;"23;0"
2026-08-24 00:26:17;in_water_temp;"20;3";;"20;3"
2026-08-24 00:26:55;disc_temp;"21;2";;"21;2"
2026-08-24 00:27:40;tidr;"23;1";;"23;1"
2026-08-24 00:27:40;comp_freq;"0;0";;"0;0"
2026-08-24 00:27:40;amb_temp;"12;8";;"12;8"
2026-08-24 00:27:40;ac_curr;"0;0";;"0;0"
2026-08-24 00:27:43;tidr;"23;0";;"23;0"
2026-08-24 00:27:56;fault_flag;;False;"0;0"
2026-08-24 00:27:56;protect_flag;;False;"0;0"
2026-08-24 00:27:56;ac_fan;;close;
2026-08-24 00:27:56;freeze;;False;"0;0"
2026-08-24 00:27:56;defrost;;False;"0;0"
2026-08-24 00:27:56;dc_fan2;"0;0";;"0;0"
2026-08-24 00:28:15;back_temp;"19;6";;"19;6"
2026-08-24 00:28:31;m_eev;"480;0";;"480;0"
2026-08-24 00:28:31;dc_fan1;"0;0";;"0;0"
2026-08-24 00:29:03;tidr;"23;1";;"23;1"
2026-08-24 00:29:03;a_eev;"10;0";;"10;0"
2026-08-24 00:29:03;tank_temp;"43;9";;"43;9"
2026-08-24 00:29:51;pump_sta;;False;"0;0"
2026-08-24 00:29:51;flow_rate;"0;0";;"0;0"
2026-08-24 00:29:51;valve;;False;"0;0"
2026-08-24 00:31:01;out_water_temp;"21;3";;"21;3"
2026-08-24 00:31:22;in_water_temp;"20;2";;"20;2"
2026-08-24 00:31:59;disc_temp;"21;2";;"21;2"
2026-08-24 00:32:51;comp_freq;"0;0";;"0;0"
2026-08-24 00:32:51;amb_temp;"12;8";;"12;8"
2026-08-24 00:32:51;ac_curr;"0;0";;"0;0"
2026-08-24 00:32:56;fault_flag;;False;"0;0"
2026-08-24 00:32:56;protect_flag;;False;"0;0"
2026-08-24 00:32:56;ac_fan;;close;
2026-08-24 00:32:56;freeze;;False;"0;0"
2026-08-24 00:32:56;defrost;;False;"0;0"
2026-08-24 00:32:56;dc_fan2;"0;0";;"0;0"
2026-08-24 00:33:17;back_temp;"19;4";;"19;4"
2026-08-24 00:33:32;m_eev;"480;0";;"480;0"
2026-08-24 00:33:32;dc_fan1;"0;0";;"0;0"
2026-08-24 00:34:04;tidr;"23;1";;"23;1"
2026-08-24 00:34:04;a_eev;"10;0";;"10;0"
2026-08-24 00:34:04;tank_temp;"43;8";;"43;8"
2026-08-24 00:34:53;pump_sta;;False;"0;0"
2026-08-24 00:34:53;flow_rate;"0;0";;"0;0"
2026-08-24 00:34:53;valve;;False;"0;0"
2026-08-24 00:35:36;tidr;"23;0";;"23;0"
2026-08-24 00:36:04;out_water_temp;"21;1";;"21;1"
2026-08-24 00:36:22;in_water_temp;"20;0";;"20;0"
2026-08-24 00:37:00;tidr;"23;1";;"23;1"
2026-08-24 00:37:00;disc_temp;"21;0";;"21;0"
2026-08-24 00:37:52;comp_freq;"0;0";;"0;0"
2026-08-24 00:37:52;amb_temp;"12;8";;"12;8"
2026-08-24 00:37:52;ac_curr;"0;0";;"0;0"
2026-08-24 00:38:00;fault_flag;;False;"0;0"
2026-08-24 00:38:00;protect_flag;;False;"0;0"
2026-08-24 00:38:00;ac_fan;;close;
2026-08-24 00:38:00;freeze;;False;"0;0"
2026-08-24 00:38:00;defrost;;False;"0;0"
2026-08-24 00:38:00;dc_fan2;"0;0";;"0;0"
2026-08-24 00:38:35;back_temp;"19;3";;"19;3"
2026-08-24 00:38:35;m_eev;"480;0";;"480;0"
2026-08-24 00:38:35;dc_fan1;"0;0";;"0;0"
2026-08-24 00:39:07;a_eev;"10;0";;"10;0"
2026-08-24 00:39:07;tank_temp;"43;8";;"43;8"
2026-08-24 00:39:35;out_water_temp;"20;9";;"20;9"
2026-08-24 00:39:55;pump_sta;;False;"0;0"
2026-08-24 00:39:55;flow_rate;"0;0";;"0;0"
2026-08-24 00:39:55;valve;;False;"0;0"
2026-08-24 00:41:23;in_water_temp;"19;8";;"19;8"
2026-08-24 00:42:05;tidr;"23;1";;"23;1"
2026-08-24 00:42:05;disc_temp;"20;8";;"20;8"
2026-08-24 00:42:53;comp_freq;"0;0";;"0;0"
2026-08-24 00:42:53;amb_temp;"12;6";;"12;6"
2026-08-24 00:42:53;ac_curr;"0;0";;"0;0"
2026-08-24 00:43:01;fault_flag;;False;"0;0"
2026-08-24 00:43:01;protect_flag;;False;"0;0"
2026-08-24 00:43:01;ac_fan;;close;
2026-08-24 00:43:01;freeze;;False;"0;0"
2026-08-24 00:43:01;defrost;;False;"0;0"
2026-08-24 00:43:01;dc_fan2;"0;0";;"0;0"
2026-08-24 00:43:35;back_temp;"19;1";;"19;1"
2026-08-24 00:43:35;m_eev;"480;0";;"480;0"
2026-08-24 00:43:35;dc_fan1;"0;0";;"0;0"
2026-08-24 00:44:19;a_eev;"10;0";;"10;0"
2026-08-24 00:44:19;tank_temp;"43;9";;"43;9"
2026-08-24 00:44:37;out_water_temp;"20;8";;"20;8"
2026-08-24 00:45:02;pump_sta;;False;"0;0"
2026-08-24 00:45:02;flow_rate;"0;0";;"0;0"
2026-08-24 00:45:02;valve;;False;"0;0"
2026-08-24 00:46:25;in_water_temp;"19;7";;"19;7"
2026-08-24 00:47:08;tidr;"23;1";;"23;1"
